"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 5 - State Senator","Chad Magendanz","(Prefers Republican Party)",12836,47.09,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","Victoria Hunt","(Prefers Democratic Party)",14383,52.76,"Legislative"
"LEGISLATIVE DISTRICT 5 - State Senator","WRITE-IN"," ",40,0.15,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Senator","Michelle Caldier","(Prefers Republican Party)",16270,49.65,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Senator","Deb Krishnadasan","(Prefers Democratic Party)",16427,50.13,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Senator","WRITE-IN"," ",74,0.23,"Legislative"
"Legislative District 33 - State Senator","Tina L. Orwall","(Prefers Democratic Party)",11970,94.74,"Legislative"
"Legislative District 33 - State Senator","WRITE-IN"," ",664,5.26,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Kevin Schilling","(Prefers Democratic Party)",4846,31.73,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Darryl Jones","(Prefers Republican Party)",3551,23.25,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Edwin Obras","(Prefers Democratic Party)",6842,44.8,"Legislative"
"Legislative District 33 - State Representative Pos. 1","WRITE-IN"," ",32,0.21,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Senator","Emily Alvarado","(Prefers Democratic Party)",19367,96.93,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Senator","WRITE-IN"," ",614,3.07,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","Brianna K. Thomas","(Prefers Democratic Party)",19029,96.75,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","WRITE-IN"," ",640,3.25,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","Vinita Kak","(Prefers Democratic Party)",1673,7.31,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","John Whitney","(Prefers Republican Party)",6661,29.12,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","Janice Zahn","(Prefers Democratic Party)",14509,63.44,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","WRITE-IN"," ",28,0.12,"Legislative"
"Legislative District 48 - State Senator","Amy Walen","(Prefers Democratic Party)",6086,38.27,"Legislative"
"Legislative District 48 - State Senator","Vandana Slatter","(Prefers Democratic Party)",9462,59.49,"Legislative"
"Legislative District 48 - State Senator","WRITE-IN"," ",356,2.24,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Ranga Bondada","(Prefers Democratic Party)",1389,8.31,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Dennis Ellis","(Prefers Republican Party)",5039,30.14,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Osman Salahuddin","(Prefers Democratic Party)",10269,61.41,"Legislative"
"Legislative District 48 - State Representative Pos. 1","WRITE-IN"," ",24,0.14,"Legislative"
